,ID,OwnerID,Date,Text
0,115180,-58804998,1610220745,"Кто заокнчил Станкин на направлении 12.03.01 приборостроение, напишите, пожалуйста, как сложилась ваша судъба.\n(не анон)"
1,115164,-58804998,1609833328,"Может кто знает, интернетушка вообще собирается интернет предоставлять или просто по приколу будет деньги собирать? Теперь уже даже после того как положил деньги нельзя зайти в личный кабинет и проверить баланс, интернет не работает, телефон выключен. Типо собрали деньги и норм?"
2,115163,-58804998,1609833294,"Могут ли студенты, которые не живут в общаге, зайти в неё по своим пропускам? Не будут ли с этим какие-нибудь проблемы?"
3,115136,-58804998,1609259767,"Всем привет!\nЕсли слетаешь со стипендии на каком либо семестре , на следующем её можно вернуть посредством сдачи всего вовремя или если слетаешь когда нибудь то вернуться уже нельзя? \n\nАнон"
4,115124,-58804998,1609186904,"Всем привет! \nОсталось закрыть последний предмет во 2 модуле. По этому предмету экзамен будет последним. \nДо какого числа я должен сдать модуль , чтобы не потерять стипендию? \n \nАнон"
5,115115,-58804998,1609173148,Добрый день! Ищу игроков по лиге легенд на предстоящее МСКЛ.
6,115112,-58804998,1609067037,"3-е общежитие, умеет ли кто делать капельницы? Нужно пролечиться. ( за вознаграждение)\n\nДевушка писала про какого-то парня, не успел Добавить в друзья, как коменты пропали ("
7,115099,-58804998,1608925026,Как Липатова дистанционный экзамен принимает ?
8,115094,-58804998,1608914149,Преподы отправляют модули после срока\/Деканат выставляет после срока\n@\nВ модульном стоит 25\n@\nИнфы об отмене стипендии не было\n@\nСтанкин?
9,115093,-58804998,1608914138,Найдутся ли у кого билеты за 3 семестр по математике? \nАнон
10,115077,-58804998,1608816111,"3-е общежитие, умеет ли кто делать капельницы? Нужно пролечиться. ( за вознаграждение)"
11,115067,-58804998,1608392190,У кого-нибудь остались лекции по  ИЭС Быстриковой?\nАнон
12,115056,-58804998,1608385675,"По какой то причине не работает дискорд через интернетушку, хотя сам интернет работает. Может кто то сталкивался? Если да, скажите, как исправить?"
