,Post_ID,Text,Target
15,115136,понимаю твою боль
19,115124,чел ты...
21,115115,"Сапп: Юми, Сорака, Моргана \nМид: Люкса и Ари"
24,115115,"Пиши, скооперируемся!"
29,115115,"2 pos:\nИнвокер, морф, вивер\n3 pos:\nШейкер, рубик, бэйн, шд"
31,115112,"Так там был спам.\nБот написал про бота, который может помочь по учёбе."
56,115032,сказали клопы и тараканы за бесплатный переезд
63,115016,Ты приходишь\nПрепод подписывает\nТы уходишь
87,114889,"Там же видос есть у Соболева лол, че сложного то? Про эвольвенту мой кстати))"
91,114877,"Ты не слушай академщиков) чем быстрее сдашь,  тем меньше вопросов в деканате тебе зададут, т.к. нах ты там кому сдался)"
93,114863,"Я так понимаю, они там каждый раз случайно генерируются, так что тупо насобирать тонну ответов не выйдет. Лучше сидите и ищите закономерности, если учить религия не позволяет"
102,114840,"смотря с какой стороны смотреть,  а так да история хоть роман или поучительное пособие писать  😆🤣"
108,114840,"не думаю , родная, ты сильно заблуждаешься)"
111,114840,"в каждой шутке есть доля правда и каждый понимает по своему , вон две дамы всерьёз восприняли )😆🤣"
112,114832,"Привет, я староста"
116,114824,"хотелось бы, чтоб это длилось вечно"
131,114777,"Тебе нужно на митинский радиорынок сходить, скорее всего там найдешь"
135,114777,ля в инете что угодно отроешь
139,114758,Переводись. Збс будет. Сам переводился. Тяжело почти не будет
140,114758,Пока есть только желание сдохнуть
143,114758,"только анальное давление, приоритетно"
144,114758,"ты и тут,жопа..."
147,114758,"Нормально все, дохнут только объективно слабые\/бездельники"
156,114730,"Пусть подойдет, ему вынесут к проходной"
168,114708,"Классный мужик, не валит. Смотрит как на дебила, если чё то не понимаешь, но тянет как может. Уйти от него с неудом можно по двум причинам:\n1) ты тупой как палено\n2) чем то сильно обидел (не ходить на его пары достаточная причина для обиды)"
215,114603,Нехуй было за Путина голосовать
217,114575,"Как бы надел маску, потом надел обувь и вышел в коридор! В третьей нормально так человек заболело 😉"
237,114522,"Таня, зачем ты заговор раскрыла, тебе, что, их жалко стало??)"
238,114522,"какой жалко, ты что )))) просто экономисты ведь учатся только платно, так что пусть хоть так пользу приносит Лучшему Вузу во Вселенной ))))"
258,114481,"Бля мы поиграли, я отошел на 20 минут, а ты просто съебался"
259,114481,"так ты слышал, как я съебался, я объяснял, в твоём понимании, тмм, а это сложно"
261,114481,Этот мусор не хочет играть
263,114481,"Блять а больше т никто и не шарит за циву, и врят ли кто то захочет\nДа и позови кого нибудь из своих"
278,114463,Методичка и бессонные ночи
279,114463,"СМОТРЯ, КТО СПРАШИВАЕТ)"
289,114463,"Создавать форумы чтоб отмечаться и кидать туда задание, для чего же еще?"
296,114446,Всмысле вы их не выбрасываете? Это же мусор 👿
298,114440,"знаю одного чувака, жду в лс"
301,114440,"Знайте в лицо тех, с кем лучше не ссориться"
319,114403,Он не закончится НИКОГДА!
326,114379,"Я тот, кто тебе нужен"
331,114379,"Поддерживаю все вышесказанное, и присоединяюсь к устоявшемуся мнению,  комментаторов данного поста"
339,114364,жди павестку парень и неси справку
341,114364,"Согласен, лучше узнать заранее из первых уст о своей ситуации."
352,114319,"400 человек в овощяге, че ты хочеш"
355,114319,а еще и клопы есть)
365,114274,"+параша прикреплена к общаге , другой провайдер туда не провести , а работает раз через два"
370,114274,"Дает на лапу эта интернетушка кое-кому. Не только в безразличии дело. И не свалит она, что ни делай."
383,114273,Ох уж этот интернетушка)))
386,114272,Факт того что есть тех поддержка не означает что тебе помогут 😎
393,114256,ФлЕшка стырена голодными студентами и сечяс во флешковом раю
404,114220,хех ну поверим на первый раз )))
409,114215,Пишитe - пoмoжeм с вашими задачами пo сoпрoмату😉
415,114191,"надень юбку, работает, пповерено"
417,114191,"надень юбку, работает, пповерено"
418,114191,сядь и выучи
422,114184,а ты откуда знаешь?))))
441,114146,В личку расскажу
455,114127,я бы поспорил
456,114127,Маски забыли надеть на народ...
467,114085,Ссылочку дайте на человека пж
468,114085,"Сори, я забыл отметиться...\nПишите мне"
471,114083,"только дистанс с преподами 65+, так очка"
475,114083,"Ленивые перваки, только учиться начали, а уже хотят на дистант! Тяжело вам будет😕"
476,114061,Последняя фотка из женского? Я угадал?
478,114061,Нахрен так делать
479,114061,"Великие люди все-таки, россияне!"
481,114061,"Судя по хронологии чел поел лапши, разочаровался в ней и выкинул, потом еще и клапан порвало. И так дважды"
482,114061,"Ха, то ли ещё будет)"
489,114036,"Блиин, с удовольствием, но ноги дико болят😔"
499,114035,"Илья Андреевич, по Проге"
507,114025,Веселая у вас там жизнь
508,114025,может это не чувак а чувиха
